TradeID,OrderID,Trader,Account,Branch,route,bkrsym,rrno,B/S,SHORT,Market,symb,qty,price,time
TRD00001,ORD00001,TRADER1,ACC123456,MAIN,SMART,MSFT,RR001,S,N,LIMIT,MSFT,495,188.09,2023-11-20 18:55:51
TRD00002,ORD00001,TRADER1,ACC123456,MAIN,SMART,MSFT,RR001,S,N,LIMIT,MSFT,495,187.97,2023-11-20 18:57:23
TRD00003,ORD00002,TRADER1,ACC123456,MAIN,ARCA,META,RR001,B,N,LIMIT,META,329,169.44,2023-05-03 23:03:30
TRD00004,ORD00002,TRADER1,ACC123456,MAIN,ARCA,META,RR001,B,N,LIMIT,META,328,169.14,2023-05-03 23:04:41
TRD00005,ORD00002,TRADER1,ACC123456,MAIN,ARCA,META,RR001,B,N,LIMIT,META,329,169.27,2023-05-03 23:05:18
TRD00006,ORD00003,TRADER1,ACC123456,MAIN,NYSE,AAPL,RR001,B,N,LIMIT,AAPL,322,273.45,2023-03-02 09:52:11
TRD00007,ORD00003,TRADER1,ACC123456,MAIN,NYSE,AAPL,RR001,B,N,LIMIT,AAPL,323,273.79,2023-03-02 09:53:34
TRD00008,ORD00004,TRADER1,ACC123456,MAIN,BATS,NVDA,RR001,S,Y,LIMIT,NVDA,391,112.97,2023-07-21 11:19:04
TRD00009,ORD00004,TRADER1,ACC123456,MAIN,BATS,NVDA,RR001,S,Y,LIMIT,NVDA,391,112.85,2023-07-21 11:20:31
TRD00010,ORD00005,TRADER1,ACC123456,MAIN,NSDQ,GOOGL,RR001,S,N,LIMIT,GOOGL,277,194.55,2023-07-11 18:03:36
TRD00011,ORD00005,TRADER1,ACC123456,MAIN,NSDQ,GOOGL,RR001,S,N,LIMIT,GOOGL,277,194.82,2023-07-11 18:05:01
TRD00012,ORD00005,TRADER1,ACC123456,MAIN,NSDQ,GOOGL,RR001,S,N,LIMIT,GOOGL,277,195.07,2023-07-11 18:06:24
TRD00013,ORD00006,TRADER1,ACC123456,MAIN,NYSE,PYPL,RR001,B,N,LIMIT,PYPL,265,127.38,2023-09-22 20:10:32
TRD00014,ORD00006,TRADER1,ACC123456,MAIN,NYSE,PYPL,RR001,B,N,LIMIT,PYPL,266,127.71,2023-09-22 20:12:05
TRD00015,ORD00007,TRADER1,ACC123456,MAIN,SMART,AMZN,RR001,B,N,LIMIT,AMZN,229,172.52,2023-02-02 13:41:28
TRD00016,ORD00007,TRADER1,ACC123456,MAIN,SMART,AMZN,RR001,B,N,LIMIT,AMZN,230,171.84,2023-02-02 13:42:51
TRD00017,ORD00008,TRADER1,ACC123456,MAIN,SMART,AAPL,RR001,S,N,LIMIT,AAPL,251,239.54,2023-04-02 06:00:24
TRD00018,ORD00008,TRADER1,ACC123456,MAIN,SMART,AAPL,RR001,S,N,LIMIT,AAPL,250,238.99,2023-04-02 06:01:44
